zenodo_id,doi,title,publication_date,authors,description,keywords,version,resource_type,license,url,files
20080431,10.5281/zenodo.20080431,The Universe is governed by Geometry,2026-05-08,"McLean, Eric","<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]"">The cosmological constant, the most fine-tuned number in physics, was derived from a single algebraic axiom by the Pentagon Physics programme in early 2026. That derivation appeared in <em>The Constants Are Theorems</em",zerofreeparameters; pentagonphysics; cosmological constant; cosmic microwave background temperature,,Preprint,cc-by-4.0,https://zenodo.org/records/20080431,The_Universe_is_Governed_by_Geometry_McLean Final.pdf
20063117,10.5281/zenodo.20063117,The Emergence of the Universe:  From Vacuum Floor to de Sitter Equilibrium,2026-05-07,"McLean, Eric","<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]"">The universe has a developmental sequence. Four of the most important numbers in physics &mdash; the cosmological constant, Newton's gravitational constant, the de Sitter horizon temperature, and a deeper vacuum scale &",pentagon physics; hubble; bridge line; fine structure; DESI; Euclid; Planck; CMB-S4; 137; De Sitter; Coxeter; newton,,Preprint,cc-by-4.0,https://zenodo.org/records/20063117,Emergence_Universe_McLean Final.pdf
20047458,10.5281/zenodo.20047458,The Fine Structure Constant Is a Rotation Rate,2026-05-06,"McLean, Eric","<h2 class=""font-claude-response-body break-words whitespace-normal leading-[1.7]"">The Fine Structure Constant Is a Rotation Rate</h2>
<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><strong>Description:</strong></p>
<p class=""font-claude-response-body break-words whi",pentagon physics; Fine Structure Constant; Coxeter; Sommerfeld; Penning Trap; De Broglie,,Preprint,cc-by-4.0,https://zenodo.org/records/20047458,PRL_FSC Mclean Final.pdf
19917820,10.5281/zenodo.19917820,The σ² Theorem,2026-04-30,"McLean, Eric","<h2 class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><strong>The &sigma;&sup2; Theorem</strong> <br><br><em>The universal operator of self-reference, illustrated across five categories of physical action</em></h2>
<p class=""font-claude-response-body break-words whitespac",sigma; pentagon physics; 600-cell; Lyapunov; eigenvalues; E8; Fuzzy Dark Matter; Koide; Nanograv; katrin; DESI; QCD,,Presentation,cc-by-4.0,https://zenodo.org/records/19917820,sigma2_theorem_FINAL McLean.pdf
19875305,10.5281/zenodo.19875305,The Quark Mass Sector Closes,2026-04-29,"McLean, Eric","<h1 class=""text-text-100 mt-3 -mb-1 text-[1.375rem] font-bold"">Quark Spectral Weights</h1>
<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]"">The Standard Model treats the six quark masses as six free parameters: numbers measured experimentally, set by hand, with no int",quarks; eigenvalues; 600-cell; PDG; Standard Model; Lepton; galois; V-ub Puzzle; pentagon physics,,Preprint,cc-by-4.0,https://zenodo.org/records/19875305,Quark_Spectral_Weights_v8_2 McLean Final.pdf
19849388,10.5281/zenodo.19849388,Newton as a Character Identity on 2I,2026-04-28,"McLean, Eric","<h2 class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><strong>Newton as a Character Identity on 2I</strong></h2>
<h3 class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><em>The Pentagon Physics Gravitational Potential as a Class Function on the 6",pentagon physics; greens function; 600-cell; 2I character table; newtons constant; binary icosahedral,,Preprint,cc-by-4.0,https://zenodo.org/records/19849388,A Newton_Character_Identity (10) McLean Final.pdf; character_identity_supplementary (1).py
19828781,10.5281/zenodo.19828781,The KSS Ratio for Spacetime Is 12π/17,2026-04-27,"McLean, Eric","<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><strong>Situation.</strong> Thirty years ago, Ted Jacobson showed that Einstein's field equations of general relativity are not fundamental laws. They are a thermodynamic consequence. If every local horizon in spacetime",KSS; pentagon physics; 600-cell; E8; Jacobson; galois; quasicrystal,,Preprint,cc-by-4.0,https://zenodo.org/records/19828781,KSS_Spacetime_v60 McLean Final.pdf
19816713,10.5281/zenodo.19816713,The Galois Boundary - From Geometric Partition to Gravitational Thermodynamics,2026-04-27,"McLean, Eric","<h2 class=""text-text-100 mt-3 -mb-1 text-[1.375rem] font-bold"">The Galois Boundary</h2>
<p class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><strong>From Geometric Partition to Gravitational Thermodynamics</strong></p>
<p class=""font-claude-response-body break-words white",Pentagon physics; NANOGrav; Galois Boundary; 600-cell; 2I Character; eigenvalue,,Preprint,cc-by-4.0,https://zenodo.org/records/19816713,The_Galois_Boundary_McLean Final.pdf
19795164,10.5281/zenodo.19795164,The Edinburgh Constant and the Phyllotactic Universe,2026-04-26,"McLean, Eric","<h2 class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><strong>The Edinburgh Constant and the Phyllotactic Universe</strong></h2>
<h3 class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><em>Cosmic Evolution is a Spiral</em></h3>
<p class=""font-cla",pentagon physics; bridge line; edinburgh  constant; CASPEr-ZULF; phi; 600-cell; E8; 2I character table; constants,,Preprint,cc-by-4.0,https://zenodo.org/records/19795164,Edinburgh_Constant_McLean Final.pdf
19787763,10.5281/zenodo.19787763,The Bridge Lines - Architecture and Calibration of the Pentagon Physics Geometric Framework,2026-04-26,"McLean, Eric","<h2 class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><em>The Bridge Lines: Architecture and Calibration of the Pentagon Physics Geometric Framework</em></h2>
<h3 class=""font-claude-response-body break-words whitespace-normal leading-[1.7]""><strong>Description:</strong></",Pentagon physics; Edinburgh  Constant; Bridge Line; Fine Structure; Alpha; Lambda; Phi; 600-cell; 2I character table; sterile neutrino; fuzzy dark matter; axion like particle; electro-weak unification,,Preprint,cc-by-4.0,https://zenodo.org/records/19787763,Bridge_Lines_McLean Final.pdf
